Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AP76683,WHINC,3,F,0,2,76,15.4,08,00,01,11,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP76686,WHINC,2,M,0,1,83,14.8,08,00,01,11,2011,ACESB,DTC,0,O,0,1,0,
SAF,N,AP76791,WHINC,3,M,0,2,80,14.4,09,30,24,11,2010,ACESB,DTC,,,,,,
SAF,N,AP77731,WHINC,4,M,0,1,78,14.2,07,15,26,11,2010,ACESB,DTC,0,O,0,0,0,
SAF,N,AP77733,WHINC,2,F,0,3,76,13.8,07,15,26,11,2010,ACESB,DTC,0,O,0,0,0,
SAF,N,AP77735,WHINC,2,F,0,1,75,13.4,07,15,26,11,2010,ACESB,DTC,,,,,,
SAF,N,AP77792,WHINC,4,F,0,2,76,14.3,07,00,14,12,2010,AGUES,GTA,0,O,0,0,0,
SAF,N,AP77848,WHINC,4,M,0,2,78,14.4,07,30,16,10,2010,ACESB,DTC,0,O,0,0,0,
SAF,N,AP77887,WHINC,4,F,0,1,76,14.2,08,45,18,10,2010,ACESB,DTC,,J,0,0,0,
SAF,N,AP77896,WHINC,3,M,0,2,77,15.2,10,45,18,10,2010,ACESB,DTC,0,O,0,0,0,
SAF,N,AP79791,WHINC,3,,0,2,80,14.4,09,30,24,11,2010,ACESB,DTC,,J,0,0,0,
SAF,N,AP84535,WHINC,6,F,0,1,75,15,08,45,12,04,2011,ACESC,DTC,0,O,0,0,0,
SAF,N,AP84538,WHINC,5,M,2,1,80,18.4,07,00,13,04,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP84549,WHINC,2,F,0,2,79,15.4,07,15,15,04,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP84559,WHINC,4,M,3,3,76,17.7,07,30,05,05,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP85058,WHINC,2,F,0,2,77,13.9,08,30,02,03,2011,ACESB,DTC,0,B,3,3,0,
SAF,N,AP85062,WHINC,2,F,0,1,77,14.9,09,30,02,03,2011,ACESB,DTC,0,O,2,2,0,
SAF,N,AP85077,WHINC,2,F,0,1,77,14.1,07,15,04,03,2011,ACESB,DTC,0,B,3,3,0,
